zone,시도,시군구,법정동,번,지,주용도,연면적(㎡),건물명
판교,경기도,성남시 분당구,삼평동,610,0,업무시설,21915.24,파마리서치 및 아이코닉스 판교사옥
판교,경기도,성남시 분당구,삼평동,610,1,업무시설,22640.62,씨즈타워
판교,경기도,성남시 분당구,삼평동,611,0,업무시설,67024.1,SK 판교캠퍼스 A
판교,경기도,성남시 분당구,삼평동,612,0,업무시설,14269.71,
판교,경기도,성남시 분당구,삼평동,612,0,업무시설,14398.74,
판교,경기도,성남시 분당구,삼평동,612,0,업무시설,16908.18,
판교,경기도,성남시 분당구,삼평동,612,4,업무시설,13353.69,SK 판교캠퍼스 B
판교,경기도,성남시 분당구,삼평동,616,0,업무시설,16536.74,
판교,경기도,성남시 분당구,삼평동,621,0,업무시설,25853.21,판교 이노밸리
판교,경기도,성남시 분당구,삼평동,621,0,업무시설,14095.15,판교 이노밸리
판교,경기도,성남시 분당구,삼평동,621,0,업무시설,27284.4,판교 이노밸리
판교,경기도,성남시 분당구,삼평동,622,0,업무시설,27942.48,판교이노밸리
판교,경기도,성남시 분당구,삼평동,622,0,업무시설,14670.69,판교 이노밸리
판교,경기도,성남시 분당구,삼평동,622,0,업무시설,41499.37,판교 이노밸리
판교,경기도,성남시 분당구,삼평동,623,0,업무시설,49679.1,SK-P타워
판교,경기도,성남시 분당구,삼평동,624,0,업무시설,79735.51,판교디지털센터
판교,경기도,성남시 분당구,삼평동,625,0,업무시설,24185.58,판교세븐벤처밸리1
판교,경기도,성남시 분당구,삼평동,625,0,업무시설,17726.12,판교세븐벤처밸리1
판교,경기도,성남시 분당구,삼평동,625,0,업무시설,12813.32,판교세븐벤처밸리1
판교,경기도,성남시 분당구,삼평동,625,0,업무시설,12652.12,판교세븐벤처밸리1
판교,경기도,성남시 분당구,삼평동,627,0,업무시설,65400.37,넥슨사옥
판교,경기도,성남시 분당구,삼평동,629,0,업무시설,28499.45,경기창조경제혁신센터
판교,경기도,성남시 분당구,삼평동,629,0,업무시설,52242.08,N-SQUARE
판교,경기도,성남시 분당구,삼평동,629,0,업무시설,52335.59,N-SQUARE
판교,경기도,성남시 분당구,삼평동,630,0,업무시설,39083.47,와이앤케이
판교,경기도,성남시 분당구,삼평동,631,0,업무시설,18596.26,판교테크노밸리 C3-7
판교,경기도,성남시 분당구,삼평동,631,0,업무시설,21611.86,판교테크노밸리 C3-7
판교,경기도,성남시 분당구,삼평동,631,0,업무시설,10052.03,넥슨네트웍스
판교,경기도,성남시 분당구,삼평동,633,0,업무시설,17078.4,판교세븐벤처밸리2
판교,경기도,성남시 분당구,삼평동,633,0,업무시설,9062.4,판교세븐벤처밸리2
판교,경기도,성남시 분당구,삼평동,633,0,업무시설,9644.23,판교세븐벤처밸리2
판교,경기도,성남시 분당구,삼평동,639,0,문화및집회시설,4658.9,성남판교환경생태학습원
판교,경기도,성남시 분당구,삼평동,642,0,업무시설,17320.85,에프엔타워 판교(FN TOWER PANGYO)
판교,경기도,성남시 분당구,삼평동,644,0,업무시설,8752.92,한국반도체산업협회회관
판교,경기도,성남시 분당구,삼평동,653,0,업무시설,19859.029,판교역 푸르지오시티
판교,경기도,성남시 분당구,삼평동,655,0,업무시설,19430.98,SG타워
판교,경기도,성남시 분당구,삼평동,656,0,업무시설,12428.09,삼도 타워
